"customer_id","name","country","gender","date_of_birth","date_account_start"
"54","Demetrio Palermo","Italy","male","1997-10-10T00:00:00.000Z","2018-10-17T00:00:00.000Z"
"55","Facino Milano","Italy","male","1973-05-23T00:00:00.000Z","2018-01-02T00:00:00.000Z"
"56","Dionisio Li Fonti","Italy","male","1998-01-11T00:00:00.000Z","2019-02-12T00:00:00.000Z"
"57","Mario Lettiere","Italy","male","1975-05-04T00:00:00.000Z","2018-01-30T00:00:00.000Z"
"58","Rocco Buccho","Italy","male","1999-07-03T00:00:00.000Z","2018-02-27T00:00:00.000Z"
"59","Cristoforo Mancini","Italy","male","1980-06-05T00:00:00.000Z","2018-01-12T00:00:00.000Z"
"60","Gloria Folliero","Italy","female","1972-03-09T00:00:00.000Z","2018-10-24T00:00:00.000Z"
"61","Nella Manfrin","Italy","female","1974-01-11T00:00:00.000Z","2017-05-14T00:00:00.000Z"
"62","Gina Lucciano","Italy","female","1985-11-29T00:00:00.000Z","2018-05-22T00:00:00.000Z"
"63","Candida Padovano","Italy","female","1976-03-21T00:00:00.000Z","2018-10-13T00:00:00.000Z"
"64","Dalia Lucciano","Italy","female","1972-09-18T00:00:00.000Z","2018-09-20T00:00:00.000Z"
"65","Vittoria Bellucci","Italy","female","1978-04-02T00:00:00.000Z","2017-04-09T00:00:00.000Z"
"66","Filippa Toscani","Italy","female","1981-04-23T00:00:00.000Z","2017-02-28T00:00:00.000Z"
"67","Dora Milanesi","Italy","female","1998-04-19T00:00:00.000Z","2018-11-22T00:00:00.000Z"
"68","Irma Siciliani","Italy","female","1980-01-20T00:00:00.000Z","2019-02-18T00:00:00.000Z"
"69","Violetta Pagnotto","Italy","female","1999-05-04T00:00:00.000Z","2018-12-23T00:00:00.000Z"
"70","Annabella Endrizzi","Italy","female","1971-07-31T00:00:00.000Z","2018-05-10T00:00:00.000Z"
"71","Donata Bellucci","Italy","female","1981-04-02T00:00:00.000Z","2017-11-23T00:00:00.000Z"
"72","Macaria Onio","Italy","female","1997-04-20T00:00:00.000Z","2017-09-07T00:00:00.000Z"
"73","Veneranda Milani","Italy","female","1983-01-15T00:00:00.000Z","2018-01-15T00:00:00.000Z"
"74","Fausto Sabbatini","Italy","male","1978-01-23T00:00:00.000Z","2018-03-16T00:00:00.000Z"
"75","Luca Pinto","Italy","male","1971-02-04T00:00:00.000Z","2019-03-09T00:00:00.000Z"
"76","Michelino Barese","Italy","male","1986-04-22T00:00:00.000Z","2017-10-06T00:00:00.000Z"
"77","Nunzio Milanesi","Italy","male","1972-04-06T00:00:00.000Z","2018-04-27T00:00:00.000Z"
"78","Doroteo Napolitano","Italy","male","1992-06-01T00:00:00.000Z","2017-07-27T00:00:00.000Z"
"79","Quarantino Barese","Italy","male","1978-11-29T00:00:00.000Z","2017-09-27T00:00:00.000Z"
"80","Tymoteusz Nowak","Poland","male","1983-07-27T00:00:00.000Z","2018-11-17T00:00:00.000Z"
"81","Jarek Tomaszewski","Poland","male","1972-11-30T00:00:00.000Z","2018-11-01T00:00:00.000Z"
"82","Dobrogost Nowakowski","Poland","male","1993-08-14T00:00:00.000Z","2018-02-21T00:00:00.000Z"
"83","Marek Zawadzki","Poland","male","1995-11-21T00:00:00.000Z","2019-04-01T00:00:00.000Z"
"84","Maksym Wojciechowski","Poland","male","1992-11-23T00:00:00.000Z","2018-08-15T00:00:00.000Z"
"85","Teofil Szczepański","Poland","male","1979-02-25T00:00:00.000Z","2018-10-14T00:00:00.000Z"
"86","Albin Jaworski","Poland","male","1984-05-01T00:00:00.000Z","2017-12-15T00:00:00.000Z"
"87","Frydryk Wieczorek","Poland","male","1996-11-17T00:00:00.000Z","2017-06-01T00:00:00.000Z"
"88","Bazyli Kalinowski","Poland","male","1973-03-07T00:00:00.000Z","2018-07-26T00:00:00.000Z"
"89","Klementyna Borkowska","Poland","female","1975-05-10T00:00:00.000Z","2017-03-03T00:00:00.000Z"
"90","Zosia Adamczyk","Poland","female","1988-12-31T00:00:00.000Z","2019-01-13T00:00:00.000Z"
"91","Ewa Zawadzka","Poland","female","1988-07-13T00:00:00.000Z","2018-01-05T00:00:00.000Z"
"92","Honorata Nowak","Poland","female","1986-05-02T00:00:00.000Z","2017-09-21T00:00:00.000Z"
"93","Ivi Boškan","Slovenia","female","1997-08-12T00:00:00.000Z","2017-04-19T00:00:00.000Z"
"94","Seima Andreč","Slovenia","female","1989-11-19T00:00:00.000Z","2017-04-08T00:00:00.000Z"
"95","Darija Pokec","Slovenia","female","1992-01-28T00:00:00.000Z","2017-05-31T00:00:00.000Z"
"96","Cvijeta Hervatski","Slovenia","female","1981-07-15T00:00:00.000Z","2018-09-19T00:00:00.000Z"
"97","Šida Črnčič","Slovenia","female","1978-08-21T00:00:00.000Z","2017-06-18T00:00:00.000Z"
"98","Nesiha Tomat","Slovenia","female","1977-07-07T00:00:00.000Z","2017-09-22T00:00:00.000Z"
"99","Majdi Rozin","Slovenia","female","1996-09-12T00:00:00.000Z","2017-01-31T00:00:00.000Z"
"100","Tonček Bolje","Slovenia","male","1992-12-14T00:00:00.000Z","2018-02-20T00:00:00.000Z"
"101","Tunjo Krličević","Slovenia","male","1994-10-29T00:00:00.000Z","2019-03-23T00:00:00.000Z"
